VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
139,1,50,120,Which is the longest river flowing directly into the Atlantic Ocean?  ,Con sông dài nhất chảy trực tiếp vào Đại Tây Dương là con sông nào?,Which is the longest river flowing directly into the Atlantic Ocean?  ,แม่น้ำที่ยาวที่สุดที่ไหลตรงสู่มหาสมุทรแอตแลนติกคือแม่น้ำใด?  ,Sungai terpanjang yang mengalir langsung ke Samudra Atlantik adalah sungai apa?  ,Aling ilog ang pinakamahaba na direktang dumadaloy sa Atlantic Ocean?  ,Sungai manakah yang terpanjang dan mengalir terus ke Lautan Atlantik?,Amazon River,Amazon River,Amazon River  ,แม่น้ำอเมซอน  ,Sungai Amazon  ,Ilog Amazon  ,Sungai Amazon  ,Nile River  ,Sông Nile,Nile River  ,แม่น้ำไนล์  ,แม่น้ำไนล์  ,Ilog Nile  ,Sungai Nil  ,Mississippi River  ,Sông Mississippi,Mississippi River  ,แม่น้ำมิสซิสซิปปี  ,Sungai Mississippi  ,Ilog Mississippi  ,Sungai Mississippi  ,Congo River  ,Công-gô sông,Congo River  ,แม่น้ำคองโก  ,Sungai Congo  ,Congo River  ,Sungai Congo  ,,
140,1,50,120,In which U.S. state is Hollywood located?  ,Hollywood nằm ở tiểu bang nào của Hoa Kỳ?,In which U.S. state is Hollywood located?  ,ฮอลลีวูดตั้งอยู่ในรัฐใดของสหรัฐอเมริกา?  ,Hollywood berada di negara bagian mana di AS?  ,Saang estado ng US matatagpuan ang Hollywood?  ,Hollywood terletak di negeri mana di Amerika Syarikat?,California,California,California  ,แคลิฟอร์เนีย  ,California  ,California  ,California  ,Colorado State  ,Bang Colorado,Colorado State  ,รัฐโคโลราโด  ,รัฐโคโลราโด  ,Estado ng Colorado  ,Negeri Colorado  ,Minnesota  ,Minnesota,Minnesota  ,มินนิโซตา  ,Minnesota  ,Minnesota  ,Minnesota  ,State of Alaska  ,Bang Alaska,State of Alaska  ,รัฐอลาสกา  ,Negeri Alaska  ,State of Alaska  ,Negeri Alaska  ,,
141,1,50,124,Which countries participated in the first ancient Olympics?  ,Các quốc gia tham gia Thế vận hội cổ đại lần đầu tiên là gì?,Which countries participated in the first ancient Olympics?  ,ประเทศใดเข้าร่วมการแข่งขันโอลิมปิกโบราณครั้งแรก?  ,Negara mana yang mengikuti Olimpiade kuno pertama kali?  ,Anong mga bansa ang lumahok sa unang sinaunang Olympics?  ,Negara-negara manakah yang menyertai Sukan Olimpik purba pertama kali?,3 cái,3 cái,3 items  ,3 ชิ้น  ,3 buah  ,3 piraso  ,3 keping  ,1 item  ,1 cái,1 item  ,1 ชิ้น  ,1 ชิ้น  ,1 piraso  ,1 keping  ,2 pieces  ,2 cái,2 pieces  ,2 ชิ้น  ,2 buah  ,2 piraso  ,2 keping  ,5 Pieces  ,5 Cái,5 Pieces  ,5 ชิ้น  ,5 Keping  ,5 Pieces  ,5 Keping  ,,
142,1,50,124,What percentage of an adult human’s body weight is blood?  ,Máu chiếm bao nhiêu phần trăm trọng lượng cơ thể người trưởng thành?,What percentage of an adult human’s body weight is blood?  ,เลือดมีสัดส่วนเท่าใดของน้ำหนักตัวผู้ใหญ่?  ,Berapa persentase darah dari berat badan orang dewasa?  ,Magkano ang porsyento ng dugo sa timbang ng katawan ng isang adultong tao?  ,Berapa peratus berat badan orang dewasa terdiri daripada darah?,7-8%,7-8%,7-8%  ,7-8%  ,7-8%  ,7-8%  ,7-8%  ,4-5%  ,4-5%,4-5%  ,4-5%  ,4-5%  ,4-5%  ,4-5%  ,10-15%  ,10-15%,10-15%  ,10-15%  ,10-15%  ,10-15%  ,10-15%  ,1-2%  ,1-2%,1-2%  ,1-2%  ,1-2%  ,1-2%  ,1-2%  ,,
143,1,50,124,Where is Microsoft’s headquarters?  ,Trụ sở chính của Microsoft ở đâu?,Where is Microsoft’s headquarters?  ,สำนักงานใหญ่ของ Microsoft อยู่ที่ไหน?  ,Dimana kantor pusat Microsoft?  ,Saan matatagpuan ang headquarters ng Microsoft?  ,Di manakah ibu pejabat Microsoft?,Mỹ Tây,Mỹ Tây,Southwest US  ,ตะวันตกเฉียงใต้ของสหรัฐฯ  ,Barat Daya Amerika Serikat  ,Timog-Kanluran ng U.S.  ,Barat Daya A.S.  ,Eastern U.S. region  ,Khu vực Đông Mỹ,Eastern U.S. region  ,พื้นที่ฝั่งตะวันออกของสหรัฐฯ  ,Wilayah Timur Amerika  ,Silangang rehiyon ng U.S.  ,Wilayah Timur A.S.  ,Central America  ,Trung Mỹ,Central America  ,อเมริกากลาง  ,Amerika Tengah  ,Gitnang Amerika  ,Amerika Tengah  ,Southern United States  ,Nước Mỹ nam bộ,Southern United States  ,สหรัฐอเมริกาใต้  ,Amerika Selatan  ,Southern United States  ,Amerika Selatan  ,,
144,1,50,124,Where is the best coffee in the world produced?  ,Cà phê tốt nhất trên thế giới sản xuất ở đâu?,Where is the best coffee in the world produced?  ,กาแฟที่ดีที่สุดในโลกผลิตที่ไหน?  ,Dimana kopi terbaik di dunia diproduksi?  ,Saan ginagawa ang pinakamagandang kape sa mundo?  ,Di manakah kopi terbaik dunia dihasilkan?,Jamaica,Jamaica,Jamaica  ,จาเมกา  ,Jamaika  ,Jamaica  ,Jamaica  ,Brazil  ,Brazil,Brazil  ,บราซิล  ,Brasil  ,Brazil  ,Brazil  ,Colombia  ,Colombia,Colombia  ,โคลอมเบีย  ,Kolombia  ,Colombia  ,Colombia  ,Ethiopia  ,Ethiopia,Ethiopia  ,เอธิโอเปีย  ,Ethiopia  ,Ethiopia  ,Ethiopia  ,,
145,2,50,230,What is the largest peninsula in Europe?  ,Bán đảo lớn nhất ở châu Âu là gì?,What is the largest peninsula in Europe?  ,คาบสมุทรที่ใหญ่ที่สุดในยุโรปคืออะไร?  ,Apa semenanjung terbesar di Eropa?  ,Ano ang pinakamalaking peninsula sa Europe?  ,Apakah semenanjung terbesar di Eropah?,Bắc Âu,Bắc Âu,Northern Europe  ,ยุโรปเหนือ  ,Eropa Utara  ,Hilagang Europa  ,Eropah Utara  ,Eastern Europe  ,Đông Âu,Eastern Europe  ,ยุโรปตะวันออก  ,Eropa Timur  ,Silangang Europa  ,Eropah Timur  ,Western Europe  ,Tây Âu,Western Europe  ,ยุโรปตะวันตก  ,Eropa Barat  ,Kanlurang Europa  ,Eropah Barat  ,Central Europe  ,Trung Âu,Central Europe  ,ยุโรปกลาง  ,Eropah Tengah  ,Central Europe  ,Eropah Tengah  ,,
146,2,50,230,Which continent does Hawaii belong to?  ,Hawaii thuộc châu lục nào?,Which continent does Hawaii belong to?  ,ฮาวายเป็นส่วนหนึ่งของทวีปใด?  ,Hawaii termasuk benua mana?  ,Aling kontinente ang sakop ng Hawaii?  ,Hawaii terletak di benua mana?,Oceania,Oceania,Oceania  ,โอเชียเนีย  ,Oseania  ,Oceania  ,Oceania  ,North America  ,Bắc Mỹ,North America  ,อเมริกาเหนือ  ,Amerika Utara  ,Hilagang Amerika  ,Amerika Utara  ,South America,Nam Mỹ,South America,อเมริกาใต้,Amerika Selatan,Timog Amerika,Amerika Selatan,Asia  ,Châu Á,Asia  ,เอเชีย  ,Asia  ,Asia  ,Asia  ,,
147,2,50,230,What is the distance of an international marathon race?  ,Khoảng cách chạy đua marathon quốc tế là bao nhiêu?,What is the distance of an international marathon race?  ,ระยะทางของการแข่งขันมาราธอนระดับนานาชาติคือเท่าไร?  ,Berapa jarak lomba marathon internasional?  ,Magkano ang distansya ng isang international marathon race?  ,Jarak perlumbaan maraton antarabangsa adalah berapa?,42195m,42195m,42195m  ,42195 เมตร  ,42195m  ,42195m  ,42195m  ,"42,000m  ",42000m,"42,000m  ","42,000 เมตร  ",42000m  ,"42,000m  ","42,000m  ","42,125m  ","42,125m","42,125m  ","42,125m  ",42.125m  ,"42,125m  ","42,125m  ",42105m  ,42105m,42105m  ,42105m  ,42105m  ,42105m  ,42105m  ,,
148,2,50,230,Where is the growth layer of grass plants located?  ,Tầng tăng trưởng của cây bò có ở đâu?,Where is the growth layer of grass plants located?  ,ชั้นเจริญเติบโตของต้นหญ้าอยู่ที่ไหน?  ,Dimana lapisan pertumbuhan tanaman rumput berada?  ,Saan matatagpuan ang growth layer ng mga damo?  ,Lapisan pertumbuhan pokok menjalar terletak di mana?,Răng,Răng,Teeth  ,ฟัน  ,Gigi  ,Ngipin  ,Gigi  ,On cow hooves  ,Trên móng bò,On cow hooves  ,บนกีบวัว  ,Di atas kuku sapi  ,Sa kuko ng baka  ,Di kuku lembu  ,Stomach  ,Bụng,Stomach  ,ท้อง  ,Perut  ,Tiyan  ,Perut  ,Buffalo horn above  ,Sừng trâu bên trên,Buffalo horn above  ,เขาสัตว์กระทิงด้านบน  ,Tanduk kerbau di atas  ,Buffalo horn above  ,Tanduk kerbau di atas  ,,
149,2,50,234,"Who is the author of ""Snow White""?  ","Tác giả của ""Snow White"" (Bạch Tuyết) là ai?","Who is the author of ""Snow White""?  ","ใครเป็นผู้แต่ง ""สโนว์ไวท์""?  ","Siapa penulis ""Snow White""?  ","Sino ang may akda ng ""Snow White""?  ","Siapakah penulis ""Snow White"" (Puteri Salji)?",Anh em Grimm,Anh em Grimm,Grimm Brothers  ,พี่น้องกริมม์  ,Saudara Grimm  ,Magkapatid na Grimm  ,Adik-beradik Grimm  ,Andersen  ,Andersen,Andersen  ,แอนเดอร์เซน  ,Andersen  ,Andersen  ,Andersen  ,Anonymous  ,Ẩn danh,Anonymous  ,ไม่ระบุชื่อ  ,Anonim  ,Hindi kilala  ,Tidak dikenali  ,Medicine work  ,Y tác,Medicine work  ,งานยา  ,Kerja ubat  ,Medicine work  ,Kerja ubat  ,,
150,2,50,234,Whose blood pressure was first measured using a blood pressure monitor?  ,Máy đo huyết áp đầu tiên được sử dụng để đo huyết áp của ai?,Whose blood pressure was first measured using a blood pressure monitor?  ,การวัดความดันเลือดครั้งแรกใช้กับใคร?  ,Tekanan darah siapa yang pertama kali diukur menggunakan alat pengukur tekanan darah?  ,Kanino unang ginamit ang blood pressure monitor upang sukatin ang presyon ng dugo?  ,Siapa orang pertama yang diukur tekanan darah menggunakan alat pengukur tekanan darah pertama?,Ngựa,Ngựa,Horse  ,ม้า  ,Kuda  ,Kabayo  ,Kuda  ,Cow  ,Bò,Cow  ,วัว  ,Sapi  ,Baka  ,Lembu  ,Pig  ,Lợn,Pig  ,หมู  ,Babi  ,Baboy  ,Babi  ,Goat  ,Dê,Goat  ,แพะ  ,Kambing  ,Goat  ,Kambing  ,,
151,2,50,234,What is the first university in the United States?  ,Trường đại học đầu tiên ở Mỹ là trường nào?,What is the first university in the United States?  ,มหาวิทยาลัยแห่งแรกในสหรัฐอเมริกาคือที่ไหน?  ,Universitas pertama di Amerika Serikat adalah universitas apa?  ,Ano ang unang unibersidad sa Estados Unidos?  ,Apakah universiti pertama di Amerika Syarikat?,Harvard,Harvard,Harvard  ,ฮาร์วาร์ด  ,Harvard  ,Harvard  ,Harvard  ,Stanford University  ,Đại học Stanford,Stanford University  ,มหาวิทยาลัยสแตนฟอร์ด  ,Universitas Stanford  ,Stanford University  ,Universiti Stanford  ,Julia Music Academy  ,Học viện âm nhạc Julia,Julia Music Academy  ,สถาบันดนตรีจูเลีย  ,Akademi Musik Julia  ,Julia Music Academy  ,Akademi Muzik Julia  ,New York University  ,New York đại học,New York University  ,มหาวิทยาลัยนิวยอร์ก  ,Universiti New York  ,New York University  ,Universiti New York  ,,
152,2,50,234,When was the first school song composed?  ,Bài hát trường đầu tiên được sáng tác khi nào?,When was the first school song composed?  ,เพลงประจำโรงเรียนเพลงแรกถูกแต่งขึ้นเมื่อใด?  ,Kapan lagu sekolah pertama kali diciptakan?  ,Kailan na-compose ang unang school song?  ,Bila lagu sekolah pertama kali digubah?,Nhật Bản,Nhật Bản,Japan  ,ญี่ปุ่น  ,Jepang  ,Hapon  ,Jepun  ,South Korea  ,Hàn Quốc,South Korea  ,เกาหลีใต้  ,Korea Selatan  ,South Korea  ,Korea Selatan  ,China  ,Trung Quốc,China  ,จีน  ,Cina  ,Tsina  ,China  ,United States  ,Nước Mỹ,United States  ,สหรัฐอเมริกา  ,Amerika Syarikat  ,United States  ,Amerika Syarikat  ,,
153,2,50,238,"Who is the author of ""Othello""?  ","Tác giả của ""Othello"" là ai?","Who is the author of ""Othello""?  ","ใครเป็นผู้แต่ง ""โอเทลโล""?  ","Siapa penulis ""Othello""?  ","Sino ang may akda ng ""Othello""?  ","Siapakah penulis karya ""Othello""?",Shakespeare,Shakespeare,Shakespeare  ,เชกสเปียร์  ,Shakespeare  ,Shakespeare  ,Shakespeare  ,Homer  ,Homer,Homer  ,โฮเมอร์  ,Homer  ,Homer  ,Homer  ,Dante  ,Dante,Dante  ,ดันเต้  ,Dante  ,Dante  ,Dante  ,Tolstoy  ,Tolstoy,Tolstoy  ,Tolstoy  ,Tolstoy  ,Tolstoy  ,Tolstoy  ,,
154,2,50,238,What color world do dogs see?  ,Màu sắc của thế giới mà chó nhìn thấy là gì?,What color world do dogs see?  ,โลกสีที่สุนัขมองเห็นคือสีอะไร?  ,Warna apa yang dilihat anjing?  ,Anong kulay ang nakikita ng mga aso?  ,Apakah warna dunia yang dilihat oleh anjing?,"Đen, trắng, xám","Đen, trắng, xám","Black, white, gray  ",ดำ ขาว เทา  ,"Hitam, putih, abu-abu  ","Itim, puti, abo  ","Hitam, putih, kelabu  ",Red and green  ,Đỏ và xanh lá,Red and green  ,สีแดงและเขียว  ,Merah dan hijau  ,Pula at berde  ,Merah dan hijau  ,Blue-orange  ,Xanh cam,Blue-orange  ,น้ำเงิน-ส้ม  ,Biru-jingga  ,Asul-kahel  ,Biru-jingga  ,Color discharge  ,Thải sắc,Color discharge  ,การปล่อยสี  ,Pelepasan warna  ,Color discharge  ,Pelepasan warna  ,,
155,2,50,238,Where was the world’s first postage stamp issued?,Tem bưu chính đầu tiên của thế giới được phát hành ở đâu?,Where was the world’s first postage stamp issued?,แสตมป์ไปรษณีย์แรกของโลกถูกออกในที่ใด?,Dimana perangko pos pertama di dunia diterbitkan?,Saan inilabas ang unang postage stamp sa mundo?,Setem pos pertama di dunia diterbitkan di mana?,Anh,Anh,England  ,อังกฤษ  ,Inggris  ,Inglatera  ,England  ,USA  ,Mỹ,USA  ,สหรัฐอเมริกา  ,AS  ,U.S.A.  ,A.S.  ,Germany  ,Đức,Germany  ,เยอรมนี  ,Jerman  ,Alemanya  ,Jerman  ,France  ,Nước Pháp,France  ,ประเทศฝรั่งเศส  ,Perancis  ,France  ,Perancis  ,,
156,2,50,238,What is the highest peak of the Alps?  ,Đỉnh cao nhất của dãy Alps là đỉnh nào?,What is the highest peak of the Alps?  ,ยอดเขาที่สูงที่สุดของเทือกเขาแอลป์คือยอดเขาอะไร?  ,Puncak tertinggi dari Pegunungan Alpen adalah puncak apa?  ,Ano ang pinakamataas na tuktok ng Alps?  ,Puncak tertinggi di Banjaran Alps ialah puncak apa?,Mont Blanc,Mont Blanc,Mont Blanc  ,มองต์บล็องก์  ,Mont Blanc  ,Mont Blanc  ,Mont Blanc  ,Matterhorn Mountain  ,Núi Matterhorn,Matterhorn Mountain  ,ภูเขาแมทเทอร์ฮอร์น  ,Gunung Matterhorn  ,Bundok Matterhorn  ,Gunung Matterhorn  ,Dufour Peak  ,Đỉnh Dufour,Dufour Peak  ,ยอดเขาดูฟูร์  ,Puncak Dufour  ,Dufour Peak  ,Puncak Dufour  ,Wise wind  ,Wise phong,Wise wind  ,ลมฉลาด  ,Angin bijak  ,Wise wind  ,Angin bijak  ,,
157,2,50,242,What bird has the record for the longest flight in history?  ,Loài chim có khả năng bay xa nhất trong lịch sử được ghi nhận là gì?,What bird has the record for the longest flight in history?  ,นกชนิดใดที่มีสถิติการบินไกลที่สุดในประวัติศาสตร์?  ,Burung apa yang memiliki rekor terbang terjauh dalam sejarah?  ,Anong ibon ang may rekord para sa pinakamahabang lipad sa kasaysayan?  ,Burung apakah yang direkodkan terbang paling jauh dalam sejarah?,Arctic Tern,Arctic Tern,Arctic Tern  ,นกอาร์กติกเทิร์น  ,Arctic Tern  ,Arctic Tern  ,Burung Dara Artik  ,Wild goose  ,Ngỗng trời,Wild goose  ,ห่านป่า  ,Angsa liar  ,Gansang ligaw  ,Angsa liar  ,Vulture  ,Vulture,Vulture  ,แร้ง  ,Burung nasar  ,Buwitre  ,Burung nasar  ,Silver-haired eagle  ,Đầu bạc ưng,Silver-haired eagle  ,นกอินทรีผมหงอก  ,Helang berambut perak  ,Silver-haired eagle  ,Helang berbulu perak  ,,
158,2,50,242,Is a fluorescent lamp a high-pressure mercury lamp?  ,Đèn huỳnh quang có phải là đèn thủy ngân áp suất cao không?,Is a fluorescent lamp a high-pressure mercury lamp?  ,หลอดไฟฟลูออเรสเซนต์เป็นหลอดไฟปรอทแรงดันสูงหรือไม่?  ,Apakah lampu fluoresen adalah lampu merkuri tekanan tinggi?  ,Ang fluorescent lamp ba ay isang high-pressure mercury lamp?  ,Adakah lampu pendarfluor lampu merkuri tekanan tinggi?,Không phải,Không phải,No  ,ไม่ใช่  ,Bukan  ,Hindi  ,Tidak  ,Correct  ,Đúng,Correct  ,ถูกต้อง  ,Benar  ,Tama  ,Betul  ,"Maybe yes, maybe no  ","Có thể có, có thể không","Maybe yes, maybe no  ",อาจจะใช่ อาจจะไม่  ,"Mungkin ya, mungkin tidak  ","Maaaring oo, maaaring hindi  ","Mungkin ya, mungkin tidak  ",No way to verify  ,Không cách nào khảo chứng,No way to verify  ,ไม่มีวิธีตรวจสอบ  ,Tiada cara mengesahkan  ,No way to verify  ,Tiada cara untuk mengesahkan  ,,
159,2,50,242,"Who are Domingo and Carreras in ""The Three Tenors""?  ","Domingo và Carreras trong ""Tam đại tenor"" đều là ai?","Who are Domingo and Carreras in ""The Three Tenors""?  ","Domingo และ Carreras ใน ""สามเทเนอร์"" คือใคร?  ","Siapa Domingo dan Carreras dalam ""The Three Tenors""?  ","Sino sina Domingo at Carreras sa ""The Three Tenors""?  ","Siapakah Domingo dan Carreras dalam ""Tiga Tenor Terhebat""?",Người Tây Ban Nha,Người Tây Ban Nha,Spanish  ,ชาวสเปน  ,Orang Spanyol  ,Espanyol  ,Sepanyol  ,Italians  ,Người Ý,Italians  ,ชาวอิตาลี  ,Orang Italia  ,Mga Italyano  ,Orang Itali  ,Argentinian  ,Người Argentina,Argentinian  ,ชาวอาร์เจนตินา  ,Orang Argentina  ,Argentinian  ,Orang Argentina  ,French people  ,Người Pháp,French people  ,ชาวฝรั่งเศส  ,Orang Perancis  ,French people  ,Orang Perancis  ,,
160,2,50,242,Where is the Moon Pyramid located?  ,Kim tự tháp mặt trăng tọa lạc ở đâu?,Where is the Moon Pyramid located?  ,พีระมิดพระจันทร์ตั้งอยู่ที่ไหน?  ,Di mana Piramida Bulan terletak?  ,Saan matatagpuan ang Moon Pyramid?  ,Di manakah terletaknya Piramid Bulan?,Mexico,Mexico,Mexico  ,เม็กซิโก  ,Meksiko  ,Mexico  ,Mexico  ,Toronto  ,Toronto,Toronto  ,โตรอนโต  ,Toronto  ,Toronto  ,Toronto  ,Vancouver  ,Vancouver,Vancouver  ,แวนคูเวอร์  ,Vancouver  ,Vancouver  ,Vancouver  ,Mundt Lier  ,Mundt Lier,Mundt Lier  ,Mundt Lier  ,Mundt Lier  ,Mundt Lier  ,Mundt Lier  ,,
161,2,50,246,"Which city is called the ""Smoke-free City""?  ","Thành phố được gọi là ""Thành phố không khói"" là gì?","Which city is called the ""Smoke-free City""?  ","เมืองใดที่ถูกเรียกว่า ""เมืองปลอดควัน""?  ","Kota mana yang disebut ""Kota Bebas Asap""?  ","Anong lungsod ang tinatawag na ""Smoke-free City""?  ","Bandar manakah digelar sebagai ""Bandar tanpa asap""?",Reykjavik,Reykjavik,Reykjavik  ,เรคยาวิก  ,Reykjavik  ,Reykjavik  ,Reykjavik  ,Aarhus  ,Aarhus,Aarhus  ,ออฮุส  ,Aarhus  ,Aarhus  ,Aarhus  ,Odense  ,Odense,Odense  ,โอดันเซ  ,Odense  ,Odense  ,Odense  ,Aure treasure  ,Aure bảo,Aure treasure  ,สมบัติเก่า  ,Harta Aure  ,Aure treasure  ,Harta Aure  ,,
162,2,50,246,"Which city has the ""Little Mermaid"" as its symbol?  ","""Nàng tiên cá"" là biểu tượng của thành phố nào?","Which city has the ""Little Mermaid"" as its symbol?  ","เมืองใดที่มี ""นางเงือกน้อย"" เป็นสัญลักษณ์?  ","Kota mana yang memiliki ""Putri Duyung Kecil"" sebagai simbolnya?  ","Aling lungsod ang may ""Little Mermaid"" bilang simbolo nito?  ",Puteri Duyung ialah simbol bagi bandar apa?,Copenhagen,Copenhagen,Copenhagen  ,โคเปนเฮเกน  ,Kopenhagen  ,Copenhagen  ,Copenhagen  ,Aarhus,Aarhus,Aarhus,ออฮุส,Aarhus,Aarhus,Aarhus  ,Switzerland  ,Thụy Sĩ,Switzerland  ,สวิตเซอร์แลนด์  ,Switzerland  ,Switzerland  ,Switzerland  ,Thunder Carved Elegant Endure  ,Lôi Khắc Nhã Mạt khắc,Thunder Carved Elegant Endure  ,สายฟ้าสลักงดงาม  ,Guruh Ukiran Anggun Tahan  ,Thunder Carved Elegant Endure  ,Guruh Ukiran Anggun Tahan  ,,
164,2,50,246,What is the lowest water level of the Dead Sea?  ,Mực nước thấp nhất của Biển Chết là bao nhiêu?,What is the lowest water level of the Dead Sea?  ,ระดับน้ำต่ำที่สุดของทะเลเดดซีคือเท่าไร?  ,Berapa tingkat air terendah dari Laut Mati?  ,Ano ang pinakamababang lebel ng tubig ng Dead Sea?  ,Paras air terendah Laut Mati ialah berapa?,-392m,-392m,-392m,-392m,-392m,-392m,-392m  ,-361m,-361m,-361m,-361ม.,-361m,-361m,-361m  ,-492m  ,-492m,-492m  ,-492m  ,-492m  ,-492m  ,-492m  ,-461m  ,-461m,-461m  ,-461m  ,-461m  ,-461m  ,-461m  ,,
165,2,50,246,Where was the world’s first subway line built in 1863?  ,Tuyến tàu điện ngầm đầu tiên trên thế giới được xây dựng vào năm 1863 tại đâu?,Where was the world’s first subway line built in 1863?  ,สายรถไฟฟ้าใต้ดินสายแรกของโลกสร้างขึ้นเมื่อปี 1863 ที่ไหน?  ,Di mana jalur kereta bawah tanah pertama di dunia dibangun pada tahun 1863?  ,Saan itinayo ang unang linya ng subway sa mundo noong 1863?  ,Jalur kereta api bawah tanah pertama di dunia dibina pada tahun 1863 di mana?,London,London,London  ,London  ,London  ,London  ,London  ,Berlin,Berlin,Berlin,เบอร์ลิน,Berlin,Berlin,Berlin  ,Paris  ,Paris,Paris  ,ปารีส  ,Paris  ,Paris  ,Paris  ,Latitude  ,Lý Ngang,Latitude  ,ละติจูด  ,Latitud  ,Latitude  ,Latitud  ,,
166,2,50,251,Where is the famous Louvre Museum located?  ,Bảo tàng Louvre nổi tiếng ở đâu?,Where is the famous Louvre Museum located?  ,พิพิธภัณฑ์ลูฟวร์ที่มีชื่อเสียงอยู่ที่ไหน?  ,Di mana Museum Louvre yang terkenal berada?  ,Saan matatagpuan ang sikat na Louvre Museum?  ,Muzium Louvre yang terkenal terletak di mana?,Paris,Paris,Paris  ,Paris  ,Paris  ,Paris  ,Paris  ,Berlin,Berlin,Berlin,เบอร์ลิน,Berlin,Berlin,Berlin  ,Lyon  ,Lyon,Lyon  ,ลียง  ,Lyon  ,Lyon  ,Lyon  ,London  ,Luân Đôn,London  ,ลอนดอน  ,London  ,London  ,London  ,,
167,2,50,251,"In which U.S. state is Silicon Valley, the world’s leading IT center?  ","Thung lũng Silicon, trung tâm công nghệ thông tin quan trọng nhất thế giới, nằm ở bang nào của Mỹ?","In which U.S. state is Silicon Valley, the world’s leading IT center?  ",ซิลิคอนแวลลีย์ ศูนย์กลางเทคโนโลยีสารสนเทศที่สำคัญที่สุดของโลก ตั้งอยู่ในรัฐใดของสหรัฐ?  ,"Di negara bagian AS mana Lembah Silikon, pusat teknologi informasi terbesar di dunia?  ","Saang estado sa US matatagpuan ang Silicon Valley, ang pinakamahalagang sentro ng IT sa mundo?  ","Lembah Silicon, pusat teknologi maklumat utama dunia, terletak di negeri mana di AS?",California,California,California  ,California  ,California  ,California  ,California  ,Bang Texas,Bang Texas,Bang Texas,บาง เท็กซัส,Bang Texas,Bang Texas,Negeri Texas  ,Alaska  ,Alaska,Alaska  ,อลาสกา  ,Alaska  ,Alaska  ,Alaska  ,Colorado State  ,Colorado châu,Colorado State  ,รัฐโคโลราโด  ,Negeri Colorado  ,Colorado State  ,Negeri Colorado  ,,
168,2,50,251,What is the longest river in Europe?  ,Con sông dài nhất châu Âu là gì?,What is the longest river in Europe?  ,แม่น้ำที่ยาวที่สุดในยุโรปคืออะไร?  ,Apa sungai terpanjang di Eropa?  ,Ano ang pinakamahabang ilog sa Europa?  ,Sungai terpanjang di Eropah ialah sungai apa?,Sông Volga,Sông Volga,Volga River  ,แม่น้ำโวลก้า  ,Sungai Volga  ,Ilog Volga  ,Sungai Volga  ,Rhine River,Sông Rhine,Rhine River,แม่น้ำไรน์,Sungai Rhine,Ilog Rhine,Sungai Rhine  ,Danube River  ,Sông Danube,Danube River  ,แม่น้ำดานูบ  ,Sungai Danube  ,Ilog Danube  ,Sungai Danube  ,Thames River  ,Sông Thames,Thames River  ,แม่น้ำเทมส์  ,Sungai Thames  ,Thames River  ,Sungai Thames  ,,
169,2,50,251,What is the growth cycle duration of eyebrows?  ,Chu kỳ mọc của lông mày là bao lâu?,What is the growth cycle duration of eyebrows?  ,รอบการเจริญเติบโตของคิ้วมีระยะเวลาเท่าไร?  ,Berapa lama siklus pertumbuhan alis?  ,Gaano katagal ang cycle ng paglago ng kilay?  ,Kitaran pertumbuhan kening mengambil masa berapa lama?,2 tháng,2 tháng,2 months  ,2 เดือน  ,2 bulan  ,2 buwan  ,2 bulan  ,1 month,1 tháng,1 month,1 เดือน,1 bulan,1 buwan,1 bulan  ,6 months  ,6 tháng,6 months  ,6 เดือน  ,6 bulan  ,6 buwan  ,6 bulan  ,15 Sky  ,15 Trời,15 Sky  ,15 ฟ้า  ,15 Langit  ,15 Sky  ,15 Langit  ,,
170,2,50,255,What is the oldest form of human drawing?  ,Hình thức vẽ cổ xưa nhất của con người là gì?,What is the oldest form of human drawing?  ,รูปแบบการวาดภาพที่เก่าแก่ที่สุดของมนุษย์คืออะไร?  ,Apa bentuk gambar manusia tertua?  ,Ano ang pinakamatandang anyo ng pagguhit ng tao?  ,Apakah bentuk lukisan manusia paling purba?,Bích họa,Bích họa,Mural  ,จิตรกรรมฝาผนัง  ,Lukisan dinding  ,Mural  ,Mural  ,Engraving,Khắc tranh,Engraving,การแกะสลัก,Ukiran,Ukit,Ukiran  ,Oil painting  ,Sơn dầu,Oil painting  ,สีน้ำมัน  ,Lukisan minyak  ,Oil painting  ,Lukisan minyak  ,Watercolor painting  ,Tranh màu nước,Watercolor painting  ,ภาพวาดสีน้ำ  ,Lukisan cat air  ,Watercolor painting  ,Lukisan cat air  ,,
