VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任務名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
551,,,Infiltration Disguise  ,Ngụy trang thâm nhập,Infiltration Disguise  ,ปลอมตัวแทรกซึม  ,Penyamaran dan Infiltrasi  ,Pagpapanggap at Pagsalakay  ,Penyamaran dan Penyusupan  ,,Use seduction techniques to infiltrate the women's bath and search for the lost intimate paradise.  ,"Sử dụng kỹ thuật quyến rũ để xâm nhập vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất.",Use seduction techniques to infiltrate the women's bath and search for the lost intimate paradise.  ,ใช้เทคนิคการล่อลวงแทรกซึมเข้าสู่ห้องอาบน้ำหญิง ค้นหาสวรรค์ส่วนตัวที่หายไป  ,"Gunakan teknik rayuan untuk menyusup ke kamar mandi wanita, mencari surga intim yang hilang.  ","Gamitin ang mga teknik ng pang-aakit upang makapasok sa paliguan ng mga babae, hanapin ang nawalang paraiso ng intimacy.  ","Gunakan teknik rayuan untuk menyusup ke bilik mandi wanita, mencari syurga intim yang hilang.  ",4,100,240,<110;114>,{2102=4;gold=74000},{2102=2;5000=5},<0.9;1.1>,4,<1;2>,40,2,{14=2},60
552,,,Material Search  ,Tìm kiếm vật liệu,Material Search  ,ค้นหาวัสดุ  ,Pencarian Material  ,Paghahanap ng Materyales  ,Pencarian Bahan  ,,Go to the frontline battlefield to find ninjas with limited bloodline inheritance for Orochimaru.  ,"Đi đến chiến trường tiền tuyến, tìm kiếm những ninja có giới hạn kế thừa huyết mạch cho Orochimaru.",Go to the frontline battlefield to find ninjas with limited bloodline inheritance for Orochimaru.  ,ไปยังสนามรบแนวหน้าเพื่อค้นหานินจาที่มีสายเลือดจำกัดสำหรับ Orochimaru  ,Pergi ke medan perang garis depan untuk mencari ninja dengan batas pewarisan darah untuk Orochimaru.  ,Pumunta sa frontline na lugar ng digmaan upang hanapin ang mga ninja na may limitadong lahi para kay Orochimaru.  ,Pergi ke medan perang hadapan untuk mencari ninja dengan had pewarisan keturunan untuk Orochimaru.  ,4,100,240,<110;114>,{2102=4;gold=74000},{940=1;2102=2},<0.9;1.1>,4,<1;3>,40,3,{3=2},60
553,,,Ninjutsu Teaching  ,Dạy ninjutsu,Ninjutsu Teaching  ,สอนนินจุตสึ  ,Mengajar Ninjutsu  ,Pagtuturo ng Ninjutsu  ,Mengajar Ninjutsu  ,,"Mr. Iruka is temporarily busy, you need to replace him to teach Naruto and others about ninjutsu.  ","Ông Iruka tạm thời có việc bận, bạn cần thay ông ấy dạy Naruto và các người khác về ninjutsu.","Mr. Iruka is temporarily busy, you need to replace him to teach Naruto and others about ninjutsu.  ",คุณ Iruka มีธุระชั่วคราว คุณต้องแทนที่เขาสอนนารูโตะและคนอื่น ๆ เกี่ยวกับนินจutsu  ,"Tuan Iruka sedang sibuk sementara, Anda harus menggantikannya mengajar Naruto dan lainnya tentang ninjutsu.  ","Si Ginoong Iruka ay pansamantalang abala, kailangan mong palitan siya sa pagtuturo kay Naruto at iba pa tungkol sa ninjutsu.  ","Encik Iruka sibuk buat sementara waktu, anda perlu menggantikan dia mengajar Naruto dan yang lain tentang ninjutsu.  ",5,100,300,<110;114>,{2103=2;gold=92500},{901=3;2103=1},<1.1;1.3>,4,<1;4>,40,1,{10=3},60
554,,,Mountain Climbing Training  ,Huấn luyện leo núi,Mountain Climbing Training  ,ฝึกปีนเขา  ,Latihan Mendaki Gunung  ,Pagsasanay sa Pag-akyat ng Bundok  ,Latihan Mendaki Gunung  ,,Climb the mountain with Master Kakashi to help him recover his health.  ,"Leo núi cùng với thầy Kakashi, giúp thầy phục hồi sức khỏe.",Climb the mountain with Master Kakashi to help him recover his health.  ,ปีนเขากับอาจารย์ Kakashi เพื่อช่วยเขาฟื้นฟูสุขภาพ  ,Mendaki gunung bersama Master Kakashi untuk membantunya memulihkan kesehatan.  ,Umakyat sa bundok kasama si Master Kakashi upang tulungan siyang makabawi ng kalusugan.  ,Mendaki gunung bersama Master Kakashi untuk membantunya pulih kesihatan.  ,5,100,300,<110;114>,{2103=2;gold=92500},{2103=1;5000=5},<1.1;1.3>,4,<1;5>,40,2,{14=3},60
555,,,Forbidden Action  ,Hành động bị cấm,Forbidden Action  ,ภารกิจต้องห้าม  ,Tindakan Terlarang  ,Ipinagbabawal na Gawain  ,Tindakan Dilarang  ,,Learn forbidden techniques from the sealing book with Orochimaru's help.  ,Học các thuật cấm từ sách phong ấn nhờ sự giúp đỡ của Orochimaru.,Learn forbidden techniques from the sealing book with Orochimaru's help.  ,เรียนรู้เทคนิคต้องห้ามจากหนังสือผนึกด้วยความช่วยเหลือของ Orochimaru  ,Belajar teknik terlarang dari buku segel dengan bantuan Orochimaru.  ,Matutong mga ipinagbabawal na teknik mula sa sealing book sa tulong ni Orochimaru.  ,Belajar teknik terlarang dari buku penyegelan dengan bantuan Orochimaru.  ,5,100,300,<110;114>,{2103=2;gold=92500},{941=1;2103=1},<1.1;1.3>,4,<2;3>,40,3,{3=3},60
556,,,Lost Place Search  ,Tìm kiếm nơi thất lạc,Lost Place Search  ,ค้นหาสถานที่ที่หายไป  ,Pencarian Tempat yang Hilang  ,Paghahanap ng Nawalang Lugar  ,Mencari Tempat yang Hilang  ,,Help the Third Hokage find the lost pipeline.  ,Giúp Hokage Đệ Tam tìm lại đường ống bị mất.,Help the Third Hokage find the lost pipeline.  ,ช่วย Hokage คนที่สามค้นหาระบบท่อที่หายไป  ,Bantu Hokage Ketiga menemukan pipa yang hilang.  ,Tulungan ang Ikatlong Hokage na hanapin ang nawalang tubo.  ,Bantu Hokage Ketiga mencari paip yang hilang.  ,,100,60,<115;119>,{2101=2;gold=39000},{900=1;2101=1},<0.4;0.6>,3,<2;4>,30,1,{10=1},70
557,,,Refugee Resettlement  ,Tái định cư người tị nạn,Refugee Resettlement  ,ตั้งถิ่นฐานใหม่ให้ผู้ลี้ภัย  ,Pemukiman Ulang Pengungsi  ,Pagsasaayos ng mga Refugee  ,Penempatan Semula Pelarian  ,,Help the refugees find shelter.  ,Giúp những người tị nạn tìm nơi trú ẩn.,Help the refugees find shelter.  ,ช่วยผู้ลี้ภัยหาที่พักพิง  ,Bantu para pengungsi mencari tempat perlindungan.  ,Tulungan ang mga refugee na humanap ng kanlungan.  ,Bantu pelarian mencari tempat perlindungan.  ,,100,60,<115;119>,{2101=2;gold=39000},{2101=1;5000=2},<0.4;0.6>,3,<2;5>,30,2,{14=1},70
558,,,Treasure Hunt in Fairyland  ,Săn kho báu trong tiên cảnh,Treasure Hunt in Fairyland  ,ล่าขุมทรัพย์ในแดนสวรรค์  ,Berburu Harta di Negeri Ajaib  ,Pangangaso ng Kayamanan sa Mundo ng Diwata  ,Memburu Harta di Alam Mistik  ,,Accidentally obtained a treasure map indicating the treasure buried somewhere on Myōboku Mountain.  ,"Vô tình có được một tấm bản đồ kho báu, chỉ ra vị trí chôn giấu kho báu ở một nơi nào đó của Myōboku Mountain.",Accidentally obtained a treasure map indicating the treasure buried somewhere on Myōboku Mountain.  ,บังเอิญได้แผนที่สมบัติบ่งบอกตำแหน่งสมบัติที่ฝังอยู่ที่ภูเขา Myōboku  ,Tidak sengaja mendapatkan peta harta karun yang menunjukkan lokasi harta karun yang terkubur di Gunung Myōboku.  ,Aksidenteng nakuha ang mapa ng kayamanan na nagtuturo sa lugar ng nakatagong kayamanan sa Myōboku Mountain.  ,Terjumpa peta harta karun secara tidak sengaja yang menunjukkan lokasi harta karun yang terkubur di Gunung Myōboku.  ,,100,60,<115;119>,{2101=2;gold=39000},{2101=1;451=3},<0.4;0.6>,3,<3;4>,30,3,{2=1},70
559,,,Six Relics  ,Sáu di vật,Six Relics  ,โบราณวัตถุทั้งหก  ,Enam Relik  ,Anim na Relic  ,Enam Artifak  ,,"In a dream, received guidance from the Sage of Six Paths, found the hidden red jar.  ","Trong giấc mơ nhận được chỉ dẫn từ Thánh Nhân Lục Đạo, tìm được nơi chôn giấu chiếc bình đỏ.","In a dream, received guidance from the Sage of Six Paths, found the hidden red jar.  ",ในความฝันได้รับคำแนะนำจากพระผู้ศักดิ์สิทธิ์แห่งเส้นทางหก ค้นหาโถแดงที่ซ่อนอยู่  ,"Dalam mimpi menerima petunjuk dari Sage of Six Paths, menemukan kendi merah yang tersembunyi.  ","Sa panaginip, tumanggap ng gabay mula sa Sage of Six Paths, natagpuan ang nakatagong pulang garapon.  ","Dalam mimpi menerima petunjuk dari Sage of Six Paths, mencari balang merah yang tersembunyi.  ",2,100,120,<115;119>,{2101=4;gold=48750},{900=3;2101=2},<0.5;0.7>,3,<3;5>,30,1,{10=1},70
560,,,Rap Training  ,Huấn luyện rap,Rap Training  ,ฝึกแร็ป  ,Latihan Rap  ,Pagsasanay sa Rap  ,Latihan Rap  ,,Compose rap with Kirabi to improve your rap skills.  ,Sáng tác Rap cùng Kirabi để nâng cao trình độ rap của bạn.,Compose rap with Kirabi to improve your rap skills.  ,แต่งเพลงแร็พกับ Kirabi เพื่อพัฒนาทักษะแร็พของคุณ  ,Membuat rap bersama Kirabi untuk meningkatkan kemampuan rap Anda.  ,Lumikha ng rap kasama si Kirabi upang pagbutihin ang iyong kakayahan sa rap.  ,Menyusun rap bersama Kirabi untuk meningkatkan kemahiran rap anda.  ,2,100,120,<115;119>,{2101=4;gold=48750},{2101=2;5000=3},<0.5;0.7>,3,<4;5>,30,2,{14=1},70
561,,,Traitor Capture  ,Bắt giữ kẻ phản bội,Traitor Capture  ,จับกุมผู้ทรยศ  ,Menangkap Pengkhianat  ,Pag-aresto sa Takas  ,Menangkap Pengkhianat  ,,Help the village capture traitorous ninjas.  ,Giúp làng bắt giữ những ninja phản bội.,Help the village capture traitorous ninjas.  ,ช่วยหมู่บ้านจับนินจาผู้ทรยศ  ,Bantu desa menangkap ninja pengkhianat.  ,Tulungan ang nayon na hulihin ang mga taksil na ninja.  ,Bantu kampung menangkap ninja pengkhianat.  ,2,100,120,<115;119>,{2101=4;gold=48750},{2101=2;451=6},<0.5;0.7>,3,<1;2>,30,3,{2=1},70
562,,,Village Inspection  ,Kiểm tra làng mạc,Village Inspection  ,ตรวจหมู่บ้าน  ,Inspeksi Desa  ,Inspeksyon ng Nayon  ,Pemeriksaan Kampung  ,,"Take a walk around the village, check if everything is okay.  ","Đi dạo trong làng, kiểm tra xem mọi thứ có ổn không.","Take a walk around the village, check if everything is okay.  ",เดินเล่นรอบหมู่บ้าน ตรวจสอบว่าทุกอย่างเป็นปกติดีหรือไม่  ,"Berjalan-jalan di sekitar desa, periksa apakah semuanya baik-baik saja.  ","Maglakad-lakad sa nayon, suriin kung ayos ang lahat.  ","Berjalan-jalan di kampung, periksa sama ada semuanya baik-baik saja.  ",3,100,180,<115;119>,{2102=2;gold=58500},{900=3;2102=1},<0.6;0.8>,3,<1;3>,30,1,{10=2},70
563,,,Grass-cutting Support  ,Hỗ trợ cắt cỏ,Grass-cutting Support  ,สนับสนุนการตัดหญ้า  ,Dukungan Pemotongan Rumput  ,Tulong sa Pagputol ng Damuhan  ,Sokongan Memotong Rumput  ,,"The villagers' fields are overgrown with weeds, requiring many people to help eliminate them.  ","Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người giúp đỡ để diệt trừ cỏ dại.","The villagers' fields are overgrown with weeds, requiring many people to help eliminate them.  ",ทุ่งนาในหมู่บ้านเต็มไปด้วยวัชพืช ต้องการคนจำนวนมากช่วยกำจัดวัชพืช  ,"Ladang penduduk desa dipenuhi gulma, membutuhkan banyak orang untuk membantu membersihkannya.  ","Ang mga bukid ng mga taga-baryo ay napuno ng mga damo, nangangailangan ng maraming tao para tumulong sa pag-aalis nito.  ","Ladang penduduk kampung dipenuhi dengan rumpai, memerlukan ramai orang untuk membantu membasmi rumpai tersebut.  ",3,100,180,<115;119>,{2102=2;gold=58500},{2102=1;5000=3},<0.6;0.8>,3,<1;4>,30,2,{14=2},70
564,,,Carriage Escort  ,Hộ tống xe ngựa,Carriage Escort  ,คุ้มกันรถม้า  ,Pengawalan Kereta Kuda  ,Eskortang Karwahe  ,Eskort Kereta Kuda  ,,Escort the merchant caravan to the Hidden Cloud Village to conduct a trade.  ,Hộ tống đoàn thương nhân đến Làng Ẩn Mây để thực hiện giao dịch.,Escort the merchant caravan to the Hidden Cloud Village to conduct a trade.  ,คุ้มกันขบวนพ่อค้าไปยังหมู่บ้านเมฆปกปิดเพื่อดำเนินการค้าขาย  ,Mengawal kafilah pedagang ke Desa Awan Tersembunyi untuk melakukan perdagangan.  ,Samahan ang karavan ng mga mangangalakal papunta sa Nakatagong Nayon ng Ulap upang magsagawa ng kalakalan.  ,Mengiringi kafilah pedagang ke Kampung Awan Tersembunyi untuk menjalankan perdagangan.  ,3,100,180,<115;119>,{2102=2;gold=58500},{451=9;2102=1},<0.6;0.8>,3,<1;5>,30,3,{3=2},70
565,,,Bandit Cleanup  ,Dọn dẹp băng cướp,Bandit Cleanup  ,กวาดล้างกลุ่มโจร  ,Pembersihan Bandit  ,Paglilinis ng mga Bandido  ,Pembersihan Penyamun  ,,"Near the village, a strong group of bandits is active; investigate the cause and suppress the bandits.  ","Gần làng có nhóm cướp hoạt động rất mạnh mẽ, đi điều tra nguyên nhân và dẹp loạn bọn cướp.","Near the village, a strong group of bandits is active; investigate the cause and suppress the bandits.  ",ใกล้หมู่บ้านมีกลุ่มโจรที่เข้มแข็งปฏิบัติการ สืบสวนสาเหตุและปราบโจร  ,"Di dekat desa, ada kelompok perampok yang kuat beroperasi; selidiki penyebabnya dan basmi perampok.  ",Malapit sa nayon ay may malakas na grupo ng mga tulisan; imbestigahan ang sanhi at supilin ang mga tulisan.  ,Di dekat kampung terdapat kumpulan lanun yang aktif; siasat punca dan hapuskan lanun tersebut.  ,4,100,240,<115;119>,{2102=4;gold=78000},{901=2;2102=2},<0.9;1.1>,4,<2;3>,30,1,{10=2},70
566,,,Infiltration Disguise  ,Ngụy trang thâm nhập,Infiltration Disguise  ,ปลอมตัวแทรกซึม  ,Penyamaran dan Infiltrasi  ,Pagpapanggap at Pagsalakay  ,Penyamaran dan Penyusupan  ,,Use seduction techniques to infiltrate the women's bath and search for the lost intimate paradise.  ,"Sử dụng kỹ thuật quyến rũ để xâm nhập vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất.",Use seduction techniques to infiltrate the women's bath and search for the lost intimate paradise.  ,ใช้เทคนิคการล่อลวงแทรกซึมเข้าสู่ห้องอาบน้ำหญิง ค้นหาสวรรค์ส่วนตัวที่หายไป  ,"Gunakan teknik rayuan untuk menyusup ke kamar mandi wanita, mencari surga intim yang hilang.  ","Gamitin ang mga teknik ng pang-aakit upang makapasok sa paliguan ng mga babae, hanapin ang nawalang paraiso ng intimacy.  ","Gunakan teknik rayuan untuk menyusup ke bilik mandi wanita, mencari syurga intim yang hilang.  ",4,100,240,<115;119>,{2102=4;gold=78000},{2102=2;5000=5},<0.9;1.1>,4,<2;4>,30,2,{14=2},70
567,,,Material Search  ,Tìm kiếm vật liệu,Material Search  ,ค้นหาวัสดุ  ,Pencarian Material  ,Paghahanap ng Materyales  ,Pencarian Bahan  ,,Go to the frontline battlefield to find ninjas with limited bloodline inheritance for Orochimaru.  ,"Đi đến chiến trường tiền tuyến, tìm kiếm những ninja có giới hạn kế thừa huyết mạch cho Orochimaru.",Go to the frontline battlefield to find ninjas with limited bloodline inheritance for Orochimaru.  ,ไปยังสนามรบแนวหน้าเพื่อค้นหานินจาที่มีสายเลือดจำกัดสำหรับ Orochimaru  ,Pergi ke medan perang garis depan untuk mencari ninja dengan batas pewarisan darah untuk Orochimaru.  ,Pumunta sa frontline na lugar ng digmaan upang hanapin ang mga ninja na may limitadong lahi para kay Orochimaru.  ,Pergi ke medan perang hadapan untuk mencari ninja dengan had pewarisan keturunan untuk Orochimaru.  ,4,100,240,<115;119>,{2102=4;gold=78000},{940=1;2102=2},<0.9;1.1>,4,<2;5>,30,3,{3=2},70
568,,,Ninjutsu Teaching  ,Dạy ninjutsu,Ninjutsu Teaching  ,สอนนินจุตสึ  ,Mengajar Ninjutsu  ,Pagtuturo ng Ninjutsu  ,Mengajar Ninjutsu  ,,"Mr. Iruka is temporarily busy, you need to replace him to teach Naruto and others about ninjutsu.  ","Ông Iruka tạm thời có việc bận, bạn cần thay ông ấy dạy Naruto và các người khác về ninjutsu.","Mr. Iruka is temporarily busy, you need to replace him to teach Naruto and others about ninjutsu.  ",คุณ Iruka มีธุระชั่วคราว คุณต้องแทนที่เขาสอนนารูโตะและคนอื่น ๆ เกี่ยวกับนินจutsu  ,"Tuan Iruka sedang sibuk sementara, Anda harus menggantikannya mengajar Naruto dan lainnya tentang ninjutsu.  ","Si Ginoong Iruka ay pansamantalang abala, kailangan mong palitan siya sa pagtuturo kay Naruto at iba pa tungkol sa ninjutsu.  ","Encik Iruka sibuk buat sementara waktu, anda perlu menggantikan dia mengajar Naruto dan yang lain tentang ninjutsu.  ",5,100,300,<115;119>,{2103=2;gold=97500},{901=3;2103=1},<1.1;1.3>,4,<3;4>,30,1,{10=3},70
569,,,Mountain Climbing Training  ,Huấn luyện leo núi,Mountain Climbing Training  ,ฝึกปีนเขา  ,Latihan Mendaki Gunung  ,Pagsasanay sa Pag-akyat ng Bundok  ,Latihan Mendaki Gunung  ,,Climb the mountain with Master Kakashi to help him recover his health.  ,"Leo núi cùng với thầy Kakashi, giúp thầy phục hồi sức khỏe.",Climb the mountain with Master Kakashi to help him recover his health.  ,ปีนเขากับอาจารย์ Kakashi เพื่อช่วยเขาฟื้นฟูสุขภาพ  ,Mendaki gunung bersama Master Kakashi untuk membantunya memulihkan kesehatan.  ,Umakyat sa bundok kasama si Master Kakashi upang tulungan siyang makabawi ng kalusugan.  ,Mendaki gunung bersama Master Kakashi untuk membantunya pulih kesihatan.  ,5,100,300,<115;119>,{2103=2;gold=97500},{2103=1;5000=5},<1.1;1.3>,4,<3;5>,30,2,{14=3},70
570,,,Forbidden Action  ,Hành động bị cấm,Forbidden Action  ,ภารกิจต้องห้าม  ,Tindakan Terlarang  ,Ipinagbabawal na Gawain  ,Tindakan Dilarang  ,,Learn forbidden techniques from the sealing book with Orochimaru's help.  ,Học các thuật cấm từ sách phong ấn nhờ sự giúp đỡ của Orochimaru.,Learn forbidden techniques from the sealing book with Orochimaru's help.  ,เรียนรู้เทคนิคต้องห้ามจากหนังสือผนึกด้วยความช่วยเหลือของ Orochimaru  ,Belajar teknik terlarang dari buku segel dengan bantuan Orochimaru.  ,Matutong mga ipinagbabawal na teknik mula sa sealing book sa tulong ni Orochimaru.  ,Belajar teknik terlarang dari buku penyegelan dengan bantuan Orochimaru.  ,5,100,300,<115;119>,{2103=2;gold=97500},{941=1;2103=1},<1.1;1.3>,4,<4;5>,30,3,{3=3},70
571,,,Lost Place Search  ,Tìm kiếm nơi thất lạc,Lost Place Search  ,ค้นหาสถานที่ที่หายไป  ,Pencarian Tempat yang Hilang  ,Paghahanap ng Nawalang Lugar  ,Mencari Tempat yang Hilang  ,,Help the Third Hokage find the lost pipeline.  ,Giúp Hokage Đệ Tam tìm lại đường ống bị mất.,Help the Third Hokage find the lost pipeline.  ,ช่วย Hokage คนที่สามค้นหาระบบท่อที่หายไป  ,Bantu Hokage Ketiga menemukan pipa yang hilang.  ,Tulungan ang Ikatlong Hokage na hanapin ang nawalang tubo.  ,Bantu Hokage Ketiga mencari paip yang hilang.  ,,100,60,<120;124>,{2101=2;gold=41000},{900=1;2101=1},<0.4;0.6>,3,<1;2>,30,1,{10=1},70
572,,,Refugee Resettlement  ,Tái định cư người tị nạn,Refugee Resettlement  ,ตั้งถิ่นฐานใหม่ให้ผู้ลี้ภัย  ,Pemukiman Ulang Pengungsi  ,Pagsasaayos ng mga Refugee  ,Penempatan Semula Pelarian  ,,Help the refugees find shelter.  ,Giúp những người tị nạn tìm nơi trú ẩn.,Help the refugees find shelter.  ,ช่วยผู้ลี้ภัยหาที่พักพิง  ,Bantu para pengungsi mencari tempat perlindungan.  ,Tulungan ang mga refugee na humanap ng kanlungan.  ,Bantu pelarian mencari tempat perlindungan.  ,,100,60,<120;124>,{2101=2;gold=41000},{2101=1;5000=2},<0.4;0.6>,3,<1;3>,30,2,{14=1},70
573,,,Treasure Hunt in Fairyland  ,Săn kho báu trong tiên cảnh,Treasure Hunt in Fairyland  ,ล่าขุมทรัพย์ในแดนสวรรค์  ,Berburu Harta di Negeri Ajaib  ,Pangangaso ng Kayamanan sa Mundo ng Diwata  ,Memburu Harta di Alam Mistik  ,,Accidentally obtained a treasure map indicating the treasure buried somewhere on Myōboku Mountain.  ,"Vô tình có được một tấm bản đồ kho báu, chỉ ra vị trí chôn giấu kho báu ở một nơi nào đó của Myōboku Mountain.",Accidentally obtained a treasure map indicating the treasure buried somewhere on Myōboku Mountain.  ,บังเอิญได้แผนที่สมบัติบ่งบอกตำแหน่งสมบัติที่ฝังอยู่ที่ภูเขา Myōboku  ,Tidak sengaja mendapatkan peta harta karun yang menunjukkan lokasi harta karun yang terkubur di Gunung Myōboku.  ,Aksidenteng nakuha ang mapa ng kayamanan na nagtuturo sa lugar ng nakatagong kayamanan sa Myōboku Mountain.  ,Terjumpa peta harta karun secara tidak sengaja yang menunjukkan lokasi harta karun yang terkubur di Gunung Myōboku.  ,,100,60,<120;124>,{2101=2;gold=41000},{2101=1;451=3},<0.4;0.6>,3,<1;4>,30,3,{2=1},70
574,,,Six Relics  ,Sáu di vật,Six Relics  ,โบราณวัตถุทั้งหก  ,Enam Relik  ,Anim na Relic  ,Enam Artifak  ,,"In a dream, received guidance from the Sage of Six Paths, found the hidden red jar.  ","Trong giấc mơ nhận được chỉ dẫn từ Thánh Nhân Lục Đạo, tìm được nơi chôn giấu chiếc bình đỏ.","In a dream, received guidance from the Sage of Six Paths, found the hidden red jar.  ",ในความฝันได้รับคำแนะนำจากพระผู้ศักดิ์สิทธิ์แห่งเส้นทางหก ค้นหาโถแดงที่ซ่อนอยู่  ,"Dalam mimpi menerima petunjuk dari Sage of Six Paths, menemukan kendi merah yang tersembunyi.  ","Sa panaginip, tumanggap ng gabay mula sa Sage of Six Paths, natagpuan ang nakatagong pulang garapon.  ","Dalam mimpi menerima petunjuk dari Sage of Six Paths, mencari balang merah yang tersembunyi.  ",2,100,120,<120;124>,{2101=4;gold=51250},{900=3;2101=2},<0.5;0.7>,3,<1;5>,30,1,{10=1},70
575,,,Rap Training  ,Huấn luyện rap,Rap Training  ,ฝึกแร็ป  ,Latihan Rap  ,Pagsasanay sa Rap  ,Latihan Rap  ,,Compose rap with Kirabi to improve your rap skills.  ,Sáng tác Rap cùng Kirabi để nâng cao trình độ rap của bạn.,Compose rap with Kirabi to improve your rap skills.  ,แต่งเพลงแร็พกับ Kirabi เพื่อพัฒนาทักษะแร็พของคุณ  ,Membuat rap bersama Kirabi untuk meningkatkan kemampuan rap Anda.  ,Lumikha ng rap kasama si Kirabi upang pagbutihin ang iyong kakayahan sa rap.  ,Menyusun rap bersama Kirabi untuk meningkatkan kemahiran rap anda.  ,2,100,120,<120;124>,{2101=4;gold=51250},{2101=2;5000=3},<0.5;0.7>,3,<2;3>,30,2,{14=1},70
576,,,Traitor Capture  ,Bắt giữ kẻ phản bội,Traitor Capture  ,จับกุมผู้ทรยศ  ,Menangkap Pengkhianat  ,Pag-aresto sa Takas  ,Menangkap Pengkhianat  ,,Help the village capture traitorous ninjas.  ,Giúp làng bắt giữ những ninja phản bội.,Help the village capture traitorous ninjas.  ,ช่วยหมู่บ้านจับนินจาผู้ทรยศ  ,Bantu desa menangkap ninja pengkhianat.  ,Tulungan ang nayon na hulihin ang mga taksil na ninja.  ,Bantu kampung menangkap ninja pengkhianat.  ,2,100,120,<120;124>,{2101=4;gold=51250},{2101=2;451=6},<0.5;0.7>,3,<2;4>,30,3,{2=1},70
577,,,Village Inspection  ,Kiểm tra làng mạc,Village Inspection  ,ตรวจหมู่บ้าน  ,Inspeksi Desa  ,Inspeksyon ng Nayon  ,Pemeriksaan Kampung  ,,"Take a walk around the village, check if everything is okay.  ","Đi dạo trong làng, kiểm tra xem mọi thứ có ổn không.","Take a walk around the village, check if everything is okay.  ",เดินเล่นรอบหมู่บ้าน ตรวจสอบว่าทุกอย่างเป็นปกติดีหรือไม่  ,"Berjalan-jalan di sekitar desa, periksa apakah semuanya baik-baik saja.  ","Maglakad-lakad sa nayon, suriin kung ayos ang lahat.  ","Berjalan-jalan di kampung, periksa sama ada semuanya baik-baik saja.  ",3,100,180,<120;124>,{2102=2;gold=61500},{900=3;2102=1},<0.6;0.8>,3,<2;5>,30,1,{10=2},70
578,,,Grass-cutting Support  ,Hỗ trợ cắt cỏ,Grass-cutting Support  ,สนับสนุนการตัดหญ้า  ,Dukungan Pemotongan Rumput  ,Tulong sa Pagputol ng Damuhan  ,Sokongan Memotong Rumput  ,,"The villagers' fields are overgrown with weeds, requiring many people to help eliminate them.  ","Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người giúp đỡ để diệt trừ cỏ dại.","The villagers' fields are overgrown with weeds, requiring many people to help eliminate them.  ",ทุ่งนาในหมู่บ้านเต็มไปด้วยวัชพืช ต้องการคนจำนวนมากช่วยกำจัดวัชพืช  ,"Ladang penduduk desa dipenuhi gulma, membutuhkan banyak orang untuk membantu membersihkannya.  ","Ang mga bukid ng mga taga-baryo ay napuno ng mga damo, nangangailangan ng maraming tao para tumulong sa pag-aalis nito.  ","Ladang penduduk kampung dipenuhi dengan rumpai, memerlukan ramai orang untuk membantu membasmi rumpai tersebut.  ",3,100,180,<120;124>,{2102=2;gold=61500},{2102=1;5000=3},<0.6;0.8>,3,<3;4>,30,2,{14=2},70
579,,,Carriage Escort  ,Hộ tống xe ngựa,Carriage Escort  ,คุ้มกันรถม้า  ,Pengawalan Kereta Kuda  ,Eskortang Karwahe  ,Eskort Kereta Kuda  ,,Escort the merchant caravan to the Hidden Cloud Village to conduct a trade.  ,Hộ tống đoàn thương nhân đến Làng Ẩn Mây để thực hiện giao dịch.,Escort the merchant caravan to the Hidden Cloud Village to conduct a trade.  ,คุ้มกันขบวนพ่อค้าไปยังหมู่บ้านเมฆปกปิดเพื่อดำเนินการค้าขาย  ,Mengawal kafilah pedagang ke Desa Awan Tersembunyi untuk melakukan perdagangan.  ,Samahan ang karavan ng mga mangangalakal papunta sa Nakatagong Nayon ng Ulap upang magsagawa ng kalakalan.  ,Mengiringi kafilah pedagang ke Kampung Awan Tersembunyi untuk menjalankan perdagangan.  ,3,100,180,<120;124>,{2102=2;gold=61500},{451=9;2102=1},<0.6;0.8>,3,<3;5>,30,3,{3=2},70
